::1 - - [10/Dec/2015:21:04:46 +0000] "GET /users HTTP/1.1" 404 1523 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
::1 - - [13/Dec/2015:21:48:58 +0000] "GET /api/estimoteLocation/estimoteLocationId/obee3-9jk HTTP/1.1" 404 1523 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36"
